id;planned;done;done_comment
1;2019-05-22T12:08:34;2019-05-22T14:23:11;Gloves sky blue Oklahoma
2;2019-05-22T10:33:12;2019-05-22T11:31:06;Engineer
3;2019-05-21T21:08:49;2019-05-22T14:19:13;Moroccan Dirham
4;2019-05-22T03:09:04;2019-05-22T13:01:28;zero tolerance
5;2019-05-22T19:21:36;2019-05-22T13:50:34;Analyst paradigms
6;2019-05-22T19:27:08;2019-05-22T13:33:28;Investor Public-key
7;2019-05-22T16:46:04;2019-05-22T07:30:11;Way Dominican Republic
8;2019-05-22T06:01:15;2019-05-22T04:06:51;navigate
9;2019-05-22T14:32:32;2019-05-22T14:26:01;cross-platform Point Orchestrator
10;2019-05-22T10:40:25;2019-05-22T07:23:13;Licensed hacking installation
